"Step","algo: CAPQL - eval/eum","algo: CAPQL - eval/eum__MIN","algo: CAPQL - eval/eum__MAX","algo: PGMORL - eval/eum","algo: PGMORL - eval/eum__MIN","algo: PGMORL - eval/eum__MAX"
"18","","","","17.489107490873494","15.010673018156306","19.539784995772756"
"91","121.90943818437488","86.92513879079237","162.275666129141","","",""
"192","114.38115853405515","95.15199137065507","125.74053415780645","","",""
"293","141.75798966907456","108.23866616013454","160.18562123277923","","",""
"394","133.6347790409598","111.50299688609022","155.41219338390897","","",""
"495","154.709427520284","118.14553246970407","185.76721750708785","","",""
"596","147.11188321355496","113.7043402777516","189.19545082155364","","",""
"697","158.33505097125422","115.85337496699846","184.62169044079448","","",""
"798","163.53197345493294","115.26065072382107","194.80074779923612","","",""
"899","176.26667867186333","132.66240619924054","202.190305316778","","",""
"1000","176.92587705331778","135.8737499792097","208.72457403002267","","",""
"1101","175.1652596283975","132.17430170390944","212.3552145472232","","",""
"1202","174.19079982898504","133.9499540935527","205.57590708449527","","",""
"1303","185.73330472396688","154.49345006908732","211.08089899864342","","",""
"1404","178.69418524232466","137.41908202730724","212.99068887172078","","",""
"1505","182.4718484465815","150.34442413156333","206.19364573322284","","",""
"1606","182.7488981633959","137.12725239291612","216.32606273951728","","",""
"1707","179.49370088772613","139.14950845961005","222.92930785633962","","",""
"1808","175.44416357076832","139.90357446493476","211.39931572540993","","",""
"1909","179.21182438633915","142.2726006804418","215.42207140133283","","",""
"2010","173.99573608951053","140.15551638764063","207.03147214517074","","",""
"2111","175.32451936672328","144.28410726799103","206.9878023527864","","",""
"2212","178.62344140153255","146.7191021986978","210.56349377977978","","",""
"2313","176.58777762085342","147.99653167369658","209.83356745963025","","",""
"2414","178.95074074847403","148.42517640422278","214.03260471293208","","",""
"2515","175.5355071023572","143.49764665265107","209.86188961380282","","",""
"2616","177.97275548258048","147.58287057268166","209.19030282830235","","",""
"2717","178.36373933439677","142.50081971994862","213.70082235744488","","",""
"2818","187.21298847900104","167.72771249221623","213.90264074657938","","",""
"2919","187.44603164734644","153.01433257868175","214.50466192942224","","",""
"3020","179.5104290181783","141.47426157853613","210.92041244603007","","",""
"3121","182.78403989200083","139.02835018908235","215.53227221027944","","",""
"3222","184.0063095546826","144.62970323800266","216.94415861093728","","",""
"3323","185.90347488769024","151.20031322960105","213.52712228841077","","",""
"3424","188.9203116477862","151.67772856731008","217.36666614467399","","",""
"3525","185.37352792105307","148.33109831971893","212.65770677899715","","",""
"3626","185.05674161969912","150.87174078729709","211.86391998898125","","",""
"3727","187.35162211506034","147.66549043926838","215.8163686697361","","",""
"3828","188.34652454264435","157.86147037905872","215.86057299401094","","",""
"3929","185.99333769465224","144.15084923267864","213.6841040435549","","",""
"4030","186.2604206086448","152.5186993514712","216.36969935021233","","",""
"4131","188.9559715825745","153.6206620989458","215.3017187006453","","",""
"4232","187.8684756024218","150.37403094315746","212.53832840575203","","",""
