"Step","algo: CAPQL - eval/hypervolume","algo: CAPQL - eval/hypervolume__MIN","algo: CAPQL - eval/hypervolume__MAX","algo: PGMORL - eval/hypervolume","algo: PGMORL - eval/hypervolume__MIN","algo: PGMORL - eval/hypervolume__MAX"
"18","","","","4257.530577331204","4175.481764900459","4361.1242723330215"
"491","21220.5601682526","11629.515651074627","27284.437102545744","","",""
"992","27178.848844511795","12450.749227893662","37954.71263072218","","",""
"1493","32528.29698841659","12638.514395542266","45393.25361269638","","",""
"1994","35772.6778582699","12717.23845327374","50397.99599889512","","",""
"2495","37447.23387060532","12920.260633474978","53149.82531285751","","",""
"2996","38187.35356531479","13051.343004011007","55006.014741117906","","",""
"3497","40090.115637837116","12929.827615933646","57743.71392304643","","",""
"3998","41129.97621823208","13028.167153761948","58284.02896865846","","",""
"4499","42486.79883226517","13059.603868986107","61080.71940010377","","",""
"5000","43196.702841865146","13002.62860046776","60707.60562725007","","",""
"5501","43122.948488576316","13151.496280026338","61080.00459873106","","",""
"6002","42303.23914876981","13044.070499724025","62157.95111855458","","",""
"6503","44081.7517228598","13092.995840801012","63164.54680570835","","",""
"7004","44648.57141357536","13489.833807611765","64063.47815722801","","",""
"7505","44148.9055666929","13150.347195596722","62981.77905527331","","",""
"8006","45561.20504696528","13383.756585685194","64720.71036281336","","",""
"8507","44636.30472024672","13420.772069070712","63760.51646837847","","",""
"8757","","","","14181.19751566591","13279.796654000198","15161.030670692322"
"9008","44898.764411275035","13423.234086574163","64359.94050048036","","",""
"9509","45255.56040870387","13084.841533473551","64831.87245933793","","",""
"10010","45564.55676624283","13325.881768154342","65337.851001761504","","",""
"10511","45614.33753452572","13437.577519815517","65264.477532762474","","",""
"10957","","","","15309.604292164222","13535.048167399385","17058.246149789575"
"11012","44878.33537621328","13967.724947229905","63927.68879042703","","",""
"11513","46067.33098947936","13694.638170902392","66728.03625360735","","",""
"12014","46841.08987799963","14198.22821820466","66609.06451233754","","",""
"12515","34205.23063603171","16701.29574891508","66132.49610338932","","",""
"13016","33753.09759053215","16587.11859155402","66549.96749445473","","",""
"13157","","","","15919.083543636245","14042.861815923427","18303.747170250106"
"13517","31590.971210087384","11906.113165247969","66490.1022032857","","",""
"14018","35802.861289951376","17307.45061641749","67084.66870055515","","",""
"14519","37443.35709957338","17071.399306182622","68132.19788671633","","",""
"15020","38307.51660668371","16152.524657635362","67102.43385521721","","",""
"15357","","","","16414.689599705835","14042.861815923427","19694.95783120968"
"15521","39338.81054953739","16409.18953224903","68335.89803370822","","",""
"16022","40411.59423793095","17404.02195142805","67783.07724807106","","",""
"16523","41624.11589039669","17196.528659686","67505.85585179321","","",""
"17024","43495.17406789763","17622.779460009388","68714.43262017325","","",""
"17525","43409.75371407279","18137.015523239577","67213.7899855449","","",""
"17557","","","","16870.857090297246","14433.760162394365","19734.265138663766"
"18026","44386.37251723689","18849.817814582817","67558.0619427791","","",""
"18527","45053.09240520376","21376.730935500073","66956.54561956128","","",""
"19028","46649.60906454686","22125.142417952746","67846.11014332152","","",""
"19529","47603.831427072415","23065.905807657222","67081.36821254728","","",""
"19757","","","","17131.40652139579","14456.445862809698","19787.368463915012"
"20030","48196.18522744687","23065.295944287594","68522.56426394166","","",""
"20531","49601.00302107994","23964.63823461171","68668.98907070108","","",""
"21032","49280.392252033496","24309.00955856825","68239.05928876168","","",""
"21533","49126.91268699669","24656.570751138588","69611.99488182846","","",""
"21957","","","","17548.448805377877","14462.238547542584","21024.73987769035"
"22034","49596.90143545184","24693.008388435977","70920.50086742072","","",""
"22535","48691.52434391607","24676.035822859583","68141.70892879357","","",""
"23036","48656.31444788107","24811.29840830501","69621.53864647505","","",""
"23537","48943.60433851631","25437.499869197465","69436.24755914221","","",""
"24038","48857.98428179105","25245.349032888324","68823.94710724075","","",""
"24157","","","","18155.945514462415","15212.52674516441","21036.121871145664"
"24539","50337.94171777586","25773.729468797526","70785.9383735936","","",""
"25040","50855.14754640131","26070.200337194172","69999.45563255147","","",""
"25541","51025.49526116755","26383.72867453159","71146.81105609192","","",""
"26042","51706.24987399208","26180.670947877","72068.50963527292","","",""
"26357","","","","18960.14468675229","15735.46384494533","21036.314217188126"
"26543","51225.37141101805","26705.364534344008","70186.94629988282","","",""
