"global_step","algo: CAPQL - _step","algo: CAPQL - _step__MIN","algo: CAPQL - _step__MAX","algo: CAPQL - eval/eum","algo: CAPQL - eval/eum__MIN","algo: CAPQL - eval/eum__MAX"
"50000","491","491","491","56.618898810802044","7.669162032318095","86.57454178971734"
"100000","992","992","992","91.0430872202679","12.073434078940394","150.9310319265078"
"150000","1493","1493","1493","122.59120508511973","13.065405601478506","194.49790016850883"
"200000","1994","1994","1994","142.9997307278356","13.449776422063598","222.35527516759413"
"250000","2495","2495","2495","152.09529114465488","14.17413035905218","241.5502763320454"
"300000","2996","2996","2996","159.4153333556499","14.791926260802477","255.14739113190276"
"350000","3497","3497","3497","168.69864988250822","14.282915348480959","270.2934252901612"
"400000","3998","3998","3998","173.0053177646066","14.924175018103163","270.7315526488548"
"450000","4499","4499","4499","182.9399727439617","14.986281662820732","290.29149718553793"
"500000","5000","5000","5000","184.46211814738365","14.62654510412159","288.44361932010855"
"550000","5501","5501","5501","187.36289798506928","15.675386697175394","292.6675794359472"
"600000","6002","6002","6002","188.5618262619698","14.783586257822979","303.34044392464506"
"650000","6503","6503","6503","199.31545240218057","15.026561778125822","315.54350699328467"
"700000","7004","7004","7004","203.59204356785696","16.714358765251887","322.9123440139025"
"750000","7505","7505","7505","199.40696595826344","15.353891087238008","316.45154384755455"
"800000","8006","8006","8006","208.67797164812137","16.40458885665119","331.98194350626"
"850000","8507","8507","8507","206.2626977628062","16.647221034115635","325.36063432769174"
"900000","9008","9008","9008","207.67602463107914","16.42789236706839","329.3731578546449"
"950000","9509","9509","9509","211.0520592308272","15.410105392685841","332.0276069830892"
"1000000","10010","10010","10010","213.72404384563234","16.30879656504545","335.44715823045766"
"1050000","10511","10511","10511","215.16872314430464","16.715256152036385","337.3881618631645"
"1100000","11012","11012","11012","208.65620208017762","18.93514656087538","327.97519050545253"
"1150000","11513","11513","11513","215.06990443368917","18.041637127640648","342.066428138757"
"1200000","12014","12014","12014","219.44125454788946","20.395757111078783","343.4745983895118"
"1250000","12515","12515","12515","145.84628703129763","31.942195433955444","345.54653709851226"
"1300000","13016","13016","13016","144.20747002936739","31.098560670454468","350.25084120155816"
"1350000","13517","13517","13517","138.60283941529335","30.18083338065566","352.4240389259043"
"1400000","14018","14018","14018","151.68429548866587","34.641371723387905","351.92930203794674"
"1450000","14519","14519","14519","165.34722409189456","34.2588044771279","360.33616578813314"
"1500000","15020","15020","15020","173.87843311767497","29.18762209073695","356.0119971663742"
"1550000","15521","15521","15521","183.7844630876272","30.394439144573656","365.1625273894666"
"1600000","16022","16022","16022","187.56920392162056","35.90697038251462","363.8964049733261"
"1650000","16523","16523","16523","195.36879723097923","34.20883586375654","358.71431508102"
"1700000","17024","17024","17024","205.19698882019364","35.51404600088507","366.4527787313259"
"1750000","17525","17525","17525","203.26385520478257","38.826269433776524","355.22158457540206"
