"global_step","algo: CAPQL - _step","algo: CAPQL - _step__MIN","algo: CAPQL - _step__MAX","algo: CAPQL - eval/hypervolume","algo: CAPQL - eval/hypervolume__MIN","algo: CAPQL - eval/hypervolume__MAX"
"10000","91","91","91","50315.17164450386","35841.206558281636","71357.43888195984"
"20000","192","192","192","48004.8856920687","39058.06626096599","53492.02378817144"
"30000","293","293","293","61389.733436772185","44520.26102573294","69859.69927213021"
"40000","394","394","394","56020.56303115552","46535.31894597558","67129.11433100898"
"50000","495","495","495","68899.36391282239","49432.66134224085","88077.47750905264"
"60000","596","596","596","66121.8788707445","48766.30272330144","88769.7253386162"
"70000","697","697","697","70912.47664370433","48504.295577597004","85787.37362492154"
"80000","798","798","798","73651.36169721883","47487.87221935116","91343.5683315233"
"90000","899","899","899","82035.06044023336","57014.25106077906","97199.36883284853"
"100000","1000","1000","1000","81865.4532065853","58378.073714356426","102267.13430983809"
"110000","1101","1101","1101","81166.56787578293","57495.83430972708","104532.99840057964"
"120000","1202","1202","1202","79190.95336074317","57844.854077973105","99406.61467994486"
"130000","1303","1303","1303","87359.46288967265","70935.24935578389","102343.26509208983"
"140000","1404","1404","1404","82056.22303666126","59655.986103027346","103980.64459193569"
"150000","1505","1505","1505","84394.29058620744","67126.23504687034","96187.85962620954"
"160000","1606","1606","1606","85852.50058868283","59830.36236265755","107695.34653973226"
"170000","1707","1707","1707","83677.18272825296","60760.85192164921","111263.67509110708"
"180000","1808","1808","1808","80137.67721615509","60522.08637077265","100640.68530242288"
"190000","1909","1909","1909","80912.38950764458","62669.9032200229","99446.41562659071"
"200000","2010","2010","2010","77700.1766653714","61126.1759783355","95854.47146641675"
"210000","2111","2111","2111","78090.07004913803","63885.535218056335","94237.70270216686"
"220000","2212","2212","2212","80933.58901044425","65853.77060222384","98403.11195592611"
"230000","2313","2313","2313","80319.22166892087","66562.18753543122","100150.90010596512"
"240000","2414","2414","2414","82146.57865779783","65918.24624635566","104365.40073030212"
"250000","2515","2515","2515","80081.10831739743","64203.15689613733","100451.09881528042"
"260000","2616","2616","2616","80537.32900447893","65948.89067091826","98943.27623638423"
"270000","2717","2717","2717","81548.58744789024","62729.26654026225","102144.88850479476"
"280000","2818","2818","2818","85177.1356356741","73329.85727720919","103031.32665536343"
"290000","2919","2919","2919","88734.83669464558","68154.97985838112","105393.1361114856"
"300000","3020","3020","3020","83410.03342618914","61694.93389811104","100877.78297109714"
"310000","3121","3121","3121","84497.47666618117","61163.43548555125","102048.72447314834"
"320000","3222","3222","3222","84883.32024714642","63587.6092694082","104385.33889826323"
"330000","3323","3323","3323","86810.39199797407","68202.72700972155","103032.28411728857"
"340000","3424","3424","3424","88015.64511057486","68319.50673871256","104394.01416869674"
"350000","3525","3525","3525","86150.18131343513","65727.98895006877","102230.70680450098"
"360000","3626","3626","3626","87507.14687264901","68351.6559923453","102070.31264726109"
"370000","3727","3727","3727","87069.14509080646","65021.03179112702","105443.40920612586"
"380000","3828","3828","3828","87996.89524916942","70854.51807458249","103702.8373318812"
"390000","3929","3929","3929","85209.22761488793","62777.59520890099","102022.92088837623"
"400000","4030","4030","4030","87188.66187936382","69542.88112637533","106137.8297338371"
"410000","4131","4131","4131","88396.07586547645","69827.95348110044","104476.6280700932"
"420000","4232","4232","4232","89031.81529906187","66860.7203720932","103138.20110795784"
"430000","4333","4333","4333","87399.2583992477","64941.92477868354","108030.02870119136"
"440000","4434","4434","4434","90215.34566427606","65833.91194688233","107794.73685244881"
"450000","4535","4535","4535","88286.35298844446","65069.225997135894","105951.33080264235"
"460000","4636","4636","4636","89421.3443572948","65141.28263303779","108356.61162924716"
"470000","4737","4737","4737","85253.38709788809","58660.45354911368","106526.47925103286"
"480000","4838","4838","4838","91943.37275227583","73488.07135114935","108657.85990730656"
"490000","4939","4939","4939","89925.40618553327","69406.8931683727","107429.94878836583"
"500000","5040","5040","5040","90026.78896734059","70667.51379938515","107304.17022654011"
"510000","5141","5141","5141","93167.92410305089","70358.22289041604","109659.9460183311"
"520000","5242","5242","5242","86635.896291076","64398.81763910679","108434.12032223179"
"530000","5343","5343","5343","88756.6626406916","66110.62064440554","107770.20750672254"
"540000","5444","5444","5444","88256.14175815125","64801.259202043846","110462.81266987787"
"550000","5545","5545","5545","88505.98933727013","63066.870350438796","106411.04660968305"
"560000","5646","5646","5646","91730.3246762815","71083.8147779432","109370.05472702874"
"570000","5747","5747","5747","89407.65202902044","68363.20938313613","107496.31166224557"
"580000","5848","5848","5848","87653.4694396148","64207.84962622935","107333.26018313774"
"590000","5949","5949","5949","88974.84237783901","67025.81710725755","106997.79191647006"
"600000","6050","6050","6050","86065.75670643445","61992.33918825692","105735.01469283013"
"610000","6151","6151","6151","89462.58519442119","66195.94365314196","107818.067955789"
"620000","6252","6252","6252","88928.41297386803","59907.426795235646","105121.292116353"
"630000","6353","6353","6353","89540.75613570241","67414.84931927531","103019.51147209521"
"640000","6454","6454","6454","91262.9948329345","68960.80287688712","107655.71566990249"
"650000","6555","6555","6555","86123.14874365422","60825.44908100725","107933.85940703575"
"660000","6656","6656","6656","90817.41220747441","72980.59961396316","105442.69485317852"
"670000","6757","6757","6757","89355.35369086388","65900.38314021402","108048.747539617"
"680000","6858","6858","6858","87345.62304364733","63123.5420712836","104767.99547205682"
"690000","6959","6959","6959","89219.37158642495","66244.65942928402","105792.72624384628"
"700000","7060","7060","7060","89347.02085478837","71286.08744726333","103499.2995853837"
"710000","7161","7161","7161","89136.56271631295","68537.94437615055","105042.93121008367"
"720000","7262","7262","7262","89825.43077219113","68746.03925193177","106663.6585466014"
"730000","7363","7363","7363","87707.82083744906","63064.06600172998","107073.56195732595"
"740000","7464","7464","7464","89284.51108998444","67570.60192876283","106156.25090206848"
"750000","7565","7565","7565","89634.71259081965","69695.71520889152","107210.0350021251"
"760000","7666","7666","7666","88915.65631101992","67190.63421967255","106959.11346576127"
"770000","7767","7767","7767","91346.61870929094","72316.47083734945","108755.48841435647"
"780000","7868","7868","7868","90794.11261963773","70489.13624488829","108765.0126169689"
"790000","7969","7969","7969","89209.65913676874","68660.42094445645","106203.0975538494"
"800000","8070","8070","8070","88878.91258104269","64846.756168954686","109630.22857776887"
"810000","8171","8171","8171","88672.14124778418","62869.45705935767","109614.83815347253"
"820000","8272","8272","8272","91132.60279246669","68914.19329008015","109918.9986865494"
"830000","8373","8373","8373","90547.87567714899","66694.00251452225","110117.3976690315"
"840000","8474","8474","8474","88335.32499106096","63200.688570395956","106878.24754806564"
"850000","8575","8575","8575","89565.82052543967","66219.92723230751","109214.7043003015"
"860000","8676","8676","8676","87412.97452754702","63476.75691238914","108087.05050407056"
"870000","8777","8777","8777","87807.39673352618","60603.44753118352","105651.584070835"
"880000","8878","8878","8878","87812.9724351844","63642.75372340891","110562.79372123283"
"890000","8979","8979","8979","89669.02156469088","65135.48692979232","109450.62378633302"
"900000","9080","9080","9080","87260.13079853739","60946.8713078321","109762.58573206759"
"910000","9181","9181","9181","90421.1414491016","63572.36805912766","113414.45231247957"
"920000","9282","9282","9282","90220.45639637842","63606.577342073804","110965.99040347744"
"930000","9383","9383","9383","89783.67903846204","66989.19266546662","108836.36368832625"
"940000","9484","9484","9484","90562.18807045867","65287.8703527249","110261.54869319919"
"950000","9585","9585","9585","88863.42545157512","65620.39691838803","108548.53427848809"
"960000","9686","9686","9686","89754.64163719706","66383.79609158776","108744.0352452946"
