"global_step","algo: EMOS - _step","algo: EMOS - _step__MIN","algo: EMOS - _step__MAX","algo: EMOS - eval/eum","algo: EMOS - eval/eum__MIN","algo: EMOS - eval/eum__MAX"
"0","12","12","12","-26.82923304916263","-30.18627607173604","-23.487433257346094"
"2621440","5865","5865","5865","27.065154253740978","17.96447719551546","36.98802160195515"
"3276800","8690","8688","8693","28.797238938801502","17.96447719551546","41.42478382459424"
"3932160","11997","11842","12163","29.214166688417443","17.96447719551546","41.47450274081006"
"4587520","15654","15304","15948","29.806196118897766","17.96447719551546","41.47502390527612"
"5242880","19536","19082","20214","29.95146304491586","17.96447719551546","42.15111845468473"
"5898240","23611.6","22711","24801","30.73251439771422","17.96447719551546","43.85216196611038"
"6553600","27847","26339","29707","31.034561312501477","17.96447719551546","45.362396540046674"
"7208960","32177.8","29969","34614","32.84899773790097","17.96447719551546","45.76224051339478"
"7864320","36668","33595","40001","33.838667386477894","17.96447719551546","49.854325561743735"
"8519680","41319.4","37381","45550","33.838667386477894","17.96447719551546","49.854325561743735"
"9175040","46000.2","41165","51096","33.97339649476758","17.96447719551546","49.854325561743735"
"9830400","50775.8","45108","56798","35.326514414056255","17.96447719551546","52.47887387812608"
"10485760","55682.2","49212","62666","35.326514414056255","17.96447719551546","52.47887387812608"
"11141120","60652.2","53477","68694","35.326514414056255","17.96447719551546","52.47887387812608"
"11796480","65718","57743","74717","35.326514414056255","17.96447719551546","52.47887387812608"
"12451840","70876.6","62166","81058","35.326514414056255","17.96447719551546","52.47887387812608"
"13107200","76068.2","66587","87403","35.326514414056255","17.96447719551546","52.47887387812608"
"13762560","81294","71013","93749","35.326514414056255","17.96447719551546","52.47887387812608"
"14417920","86551.8","75438","100094","35.326514414056255","17.96447719551546","52.47887387812608"
"15073280","91840.6","79864","106435","37.612423798489615","22.728114365717296","52.47887387812608"
"15728640","97195.6","84289","112783","39.629355174110124","29.39402411768227","52.47887387812608"
"16384000","102744","88720","119128","39.629355174110124","29.39402411768227","52.47887387812608"
"17039360","108451","93147","125475","39.629355174110124","29.39402411768227","52.47887387812608"
"17694720","114219.6","97572","131822","39.76350867427648","29.719499894972177","52.47887387812608"
"18350080","120020.4","101999","138168","40.76297611544142","32.81277124381983","52.47887387812608"
"19005440","125884.2","106420","144675","40.76729802928948","32.81277124381983","52.47887387812608"
"19660800","131784.2","110848","151184","40.82694250448184","32.81277124381983","52.47887387812608"
"20316160","137777.8","115274","157849","40.82694250448184","32.81277124381983","52.47887387812608"
