"global_step","algo: EMOS - _step","algo: EMOS - _step__MIN","algo: EMOS - _step__MAX","algo: EMOS - eval/hypervolume","algo: EMOS - eval/hypervolume__MIN","algo: EMOS - eval/hypervolume__MAX"
"0","12","12","12","4359.954700894959","4133.1922641759875","4665.554488656515"
"2621440","5865","5865","5865","15623.690912734619","13852.874429288484","17399.903807332823"
"3276800","8690","8688","8693","15969.830129085323","13852.874429288484","18275.614948272174"
"3932160","11997","11842","12163","16055.82426800736","13852.874429288484","18322.370604342672"
"4587520","15654","15304","15948","16158.655534604692","13852.874429288484","18322.44953222073"
"5242880","19536","19082","20214","16189.342264842504","13852.874429288484","18432.64529141527"
"5898240","23611.6","22711","24801","16350.201900780661","13852.874429288484","18780.792951900003"
"6553600","27847","26339","29707","16404.496281905464","13852.874429288484","19052.183396001255"
"7208960","32177.8","29969","34614","16714.129554511117","13852.874429288484","19138.522115359407"
"7864320","36668","33595","40001","16915.09608454299","13852.874429288484","19941.153949784162"
"8519680","41319.4","37381","45550","16915.1422258833","13852.874429288484","19941.153949784162"
"9175040","46000.2","41165","51096","16946.123841904715","13852.874429288484","19941.153949784162"
"9830400","50775.8","45108","56798","17210.16302576849","13852.874429288484","20465.26180795604"
"10485760","55682.2","49212","62666","17210.571793172807","13852.874429288484","20465.6671111791"
"11141120","60652.2","53477","68694","17211.02062115927","13852.874429288484","20465.6671111791"
"11796480","65718","57743","74717","17211.107920031965","13852.874429288484","20465.6671111791"
"12451840","70876.6","62166","81058","17211.12500199498","13852.874429288484","20465.6671111791"
"13107200","76068.2","66587","87403","17211.12500199498","13852.874429288484","20465.6671111791"
"13762560","81294","71013","93749","17211.12500199498","13852.874429288484","20465.6671111791"
"14417920","86551.8","75438","100094","17211.12500199498","13852.874429288484","20465.6671111791"
"15073280","91840.6","79864","106435","17645.738774774138","14648.144577629075","20465.832949862328"
"15728640","97195.6","84289","112783","18038.99721963393","16024.723377957065","20465.96554852493"
"16384000","102744","88720","119128","18040.812875297135","16024.723377957065","20466.064035963136"
"17039360","108451","93147","125475","18043.318502074446","16024.723377957065","20466.064035963136"
"17694720","114219.6","97572","131822","18062.429934777025","16049.371794079241","20466.064035963136"
"18350080","120020.4","101999","138168","18248.418792160228","16626.70102451182","20466.495189129128"
"19005440","125884.2","106420","144675","18248.620127042403","16627.29231237864","20466.495189129128"
"19660800","131784.2","110848","151184","18263.248026336783","16627.32310679102","20466.579453107934"
"20316160","137777.8","115274","157849","18265.242038946042","16627.32310679102","20466.579453107934"
