"global_step","algo: EMOS - _step","algo: EMOS - _step__MIN","algo: EMOS - _step__MAX","algo: EMOS - eval/hypervolume","algo: EMOS - eval/hypervolume__MIN","algo: EMOS - eval/hypervolume__MAX"
"0","12","12","12","13438.18045298763","12945.106536593721","14004.715279337732"
"2621440","24357","23429","25095","34334.78260174474","25792.920456466323","48346.108580006054"
"3276800","27462.2","26304","28494","37576.60214473538","25854.888359427743","48346.108580006054"
"3932160","31953.2","29639","34703","37594.23776131008","25943.066442301264","48346.108580006054"
"4587520","37528.2","33427","42103","37686.3174647283","26403.464959392353","48346.108580006054"
"5242880","44308","37560","50787","38212.74419077973","27118.38505398837","48346.108580006054"
"5898240","52044.4","41887","60995","38413.86962131489","27118.38505398837","48391.74245722423"
"6553600","60614.4","46466","72651","38791.50765735296","27118.38505398837","49511.327977174835"
"7208960","69936.2","51215","85321","39340.90699580064","27118.38505398837","49511.327977174835"
"7864320","79921","56270","98781","39878.01633802726","27118.38505398837","49718.70426986796"
"8519680","90593.4","61728","112950","39890.68939697093","27141.41544119999","49731.486954962966"
"9175040","101720.2","67342","127632","40338.490561853905","28798.683929585706","49733.6581974648"
"9830400","113132.2","73006","142700","40353.330774679256","28828.17677610836","49734.57978278534"
"10485760","124682","78854","157822","40490.523856642845","28828.17677610836","49788.47758998486"
"11141120","136399.8","84817","172900","40924.707441929975","30507.105976283085","49788.47758998486"
"11796480","148285.8","90984","187956","41147.38355636304","31498.838635302614","49788.81155661798"
"12451840","160325.6","97184","202976","41430.36035593112","32002.898039866355","49788.81155661798"
"13107200","172708.8","103449","218118","41434.32305258732","32002.898039866355","49788.82655080114"
"13762560","185273","110076","233281","41436.545548571594","32002.898039866355","49788.82655080114"
"14417920","198016.2","116736","248610","41436.545548571594","32002.898039866355","49788.82655080114"
"15073280","210857","123392","263924","41501.630045839476","32307.42371337599","49805.071927280485"
"15728640","223687.6","130154","279237","41733.702194445345","33453.09180005576","49805.071927280485"
"16384000","236584.6","136898","294546","41737.812622387675","33453.09180005576","49805.071927280485"
"17039360","249563.4","143638","309855","41795.317813210335","33453.09180005576","49805.071927280485"
"17694720","262566","150529","325168","41909.955502479184","34016.999277128954","49805.071927280485"
"18350080","275612.2","157290","340494","42097.410492726325","34802.6736470834","49805.071927280485"
"19005440","288599","164074","355889","42098.79431026087","34802.6736470834","49805.071927280485"
"19660800","301581","170992","371315","42098.79431026087","34802.6736470834","49805.071927280485"
"20316160","314658.8","178018","386876","42120.45010101817","34863.62353818794","49805.071927280485"
