"global_step","algo: EMOS - _step","algo: EMOS - _step__MIN","algo: EMOS - _step__MAX","algo: EMOS - eval/sparsity","algo: EMOS - eval/sparsity__MIN","algo: EMOS - eval/sparsity__MAX"
"0","12","12","12","34.57659513832381","0","110.41684766858816"
"2621440","5865","5865","5865","3527.096792984009","947.6739225387573","6145.06914806366"
"3276800","8690","8688","8693","1637.1607203547223","531.1509561538696","2590.4942150115967"
"3932160","11997","11842","12163","1337.7930704492987","423.67694513872266","2590.4942150115967"
"4587520","15654","15304","15948","1376.557192659018","615.595686018467","2590.4942150115967"
"5242880","19536","19082","20214","1281.1568491364055","310.51421578777956","2590.4942150115967"
"5898240","23611.6","22711","24801","1249.5390666941726","429.2966226991266","2590.4942150115967"
"6553600","27847","26339","29707","1229.695211821227","429.2966226991266","2590.4942150115967"
"7208960","32177.8","29969","34614","1230.8005348980143","454.85574585746906","2590.4942150115967"
"7864320","36668","33595","40001","1189.3115415619345","397.99392763674257","2590.4942150115967"
"8519680","41319.4","37381","45550","1175.9759790573053","331.31611511359614","2590.4942150115967"
"9175040","46000.2","41165","51096","1148.9480959783316","241.65690395981073","2590.4942150115967"
"9830400","50775.8","45108","56798","1133.4645932901049","224.55248977104202","2590.4942150115967"
"10485760","55682.2","49212","62666","1133.9409095819647","258.839670922075","2590.4942150115967"
"11141120","60652.2","53477","68694","1131.2205949452446","245.2380977384746","2590.4942150115967"
"11796480","65718","57743","74717","1124.662027392068","212.44525997259188","2590.4942150115967"
"12451840","70876.6","62166","81058","1114.9634152873857","212.44525997259188","2590.4942150115967"
"13107200","76068.2","66587","87403","1114.9634152873857","212.44525997259188","2590.4942150115967"
"13762560","81294","71013","93749","1114.9634152873857","212.44525997259188","2590.4942150115967"
"14417920","86551.8","75438","100094","1114.9634152873857","212.44525997259188","2590.4942150115967"
"15073280","91840.6","79864","106435","989.4886976913433","212.77161386597436","2590.4942150115967"
"15728640","97195.6","84289","112783","566.0596428368154","212.77161386597436","1303.8287607530754"
"16384000","102744","88720","119128","524.0842481381844","212.77161386597436","1303.8287607530754"
"17039360","108451","93147","125475","575.9803986657683","299.8074380609517","1303.8287607530754"
"17694720","114219.6","97572","131822","1195.7924995306814","299.8074380609517","4564.111759185791"
"18350080","120020.4","101999","138168","1479.7192841108567","282.177581919362","6017.651248931885"
"19005440","125884.2","106420","144675","1463.7678306408989","202.0699007516996","6017.651248931885"
"19660800","131784.2","110848","151184","512.6592578010468","177.38655541325957","1311.802273698772"
"20316160","137777.8","115274","157849","433.0683589977202","177.38655541325957","913.8477796821389"
