"global_step","algo: EMOS - _step","algo: EMOS - _step__MIN","algo: EMOS - _step__MAX","algo: EMOS - eval/sparsity","algo: EMOS - eval/sparsity__MIN","algo: EMOS - eval/sparsity__MAX"
"0","12","12","12","1.99291323274374","0","6.468147322535515"
"2621440","24357","23429","25095","549.8756799221039","0","1766.5353622436523"
"3276800","27462.2","26304","28494","365.28002663229904","0","1766.5353622436523"
"3932160","31953.2","29639","34703","365.37580716510615","0","1766.5353622436523"
"4587520","37528.2","33427","42103","362.95231299698355","0","1766.5353622436523"
"5242880","44308","37560","50787","717.7636400801782","0","1778.9906616210938"
"5898240","52044.4","41887","60995","542.8569492348283","0","1766.5353622436523"
"6553600","60614.4","46466","72651","512.968031941556","0","1766.5353622436523"
"7208960","69936.2","51215","85321","2010.2052016792718","0","7479.176180362701"
"7864320","79921","56270","98781","1035.8977861933697","0","2991.6806190006437"
"8519680","90593.4","61728","112950","734.9037771701526","0","2490.457337560132"
"9175040","101720.2","67342","127632","618.6686245101945","0","2133.0371845348604"
"9830400","113132.2","73006","142700","646.539137659512","0","1867.420268607355"
"10485760","124682","78854","157822","571.9030224606204","0","1494.0978747230256"
"11141120","136399.8","84817","172900","410.09866852625373","0","1494.0978747230256"
"11796480","148285.8","90984","187956","386.8699204805879","0","1358.189360341925"
"12451840","160325.6","97184","202976","369.2172835215325","0","1358.189360341925"
"13107200","172708.8","103449","218118","345.838777174468","0","1244.985465748255"
"13762560","185273","110076","233281","344.87843716737706","0","1244.985465748255"
"14417920","198016.2","116736","248610","344.87843716737706","0","1244.985465748255"
"15073280","210857","123392","263924","318.3092365215505","0","1149.221594006844"
"15728640","223687.6","130154","279237","324.62650388432695","0","1149.221594006844"
"16384000","236584.6","136898","294546","324.9766100044409","0","1149.221594006844"
"17039360","249563.4","143638","309855","325.27384953947666","0","1149.221594006844"
"17694720","262566","150529","325168","372.62442205335327","0","1149.221594006844"
"18350080","275612.2","157290","340494","317.636622479709","0","1149.221594006844"
"19005440","288599","164074","355889","317.3809679793021","0","1149.221594006844"
"19660800","301581","170992","371315","317.3809679793021","0","1149.221594006844"
"20316160","314658.8","178018","386876","294.62561773413415","0","1149.221594006844"
