"global_step","algo: EMOS_NOcomplexEA_optimized - _step","algo: EMOS_NOcomplexEA_optimized - _step__MIN","algo: EMOS_NOcomplexEA_optimized - _step__MAX","algo: EMOS_NOcomplexEA_optimized - eval/eum","algo: EMOS_NOcomplexEA_optimized - eval/eum__MIN","algo: EMOS_NOcomplexEA_optimized - eval/eum__MAX"
"0","12","12","12","-27.901745139712357","-30.023857846556304","-26.57103277630701"
"2621440","5865","5865","5865","15.247310085654584","7.493467361249526","26.10337665179025"
"3276800","8691","8689","8693","15.59514464892688","7.493467361249526","26.10337665179025"
"3932160","12061.4","11839","12161","15.681708367379969","7.493467361249526","26.10337665179025"
"4587520","15877","15459","16265","16.665640399786216","7.493467361249526","26.10337665179025"
"5242880","20080","19247","20853","16.665640399786216","7.493467361249526","26.10337665179025"
"5898240","24539.2","23192","25762","16.665640399786216","7.493467361249526","26.10337665179025"
"6553600","29157.4","27142","30829","16.665640399786216","7.493467361249526","26.10337665179025"
"7208960","33873","31090","36056","16.665640399786216","7.493467361249526","26.10337665179025"
"7864320","38715.2","35039","41439","16.665640399786216","7.493467361249526","26.10337665179025"
"8519680","43652.2","39141","46821","16.666720565776806","7.493467361249526","26.10337665179025"
"9175040","48653","43404","52206","16.708585986043012","7.493467361249526","26.10337665179025"
"9830400","53719","47672","57593","17.227320915301586","7.493467361249526","26.10337665179025"
"10485760","58816","52093","62974","17.227320915301586","7.493467361249526","26.10337665179025"
"11141120","63946.4","56522","68518","17.227320915301586","7.493467361249526","26.10337665179025"
"11796480","69109.2","60950","74224","17.31293028232798","7.493467361249526","26.10337665179025"
"12451840","74367.6","65536","80089","17.31293028232798","7.493467361249526","26.10337665179025"
"13107200","79623.8","70116","85952","17.31293028232798","7.493467361249526","26.10337665179025"
"13762560","84945.6","74862","91818","17.31293028232798","7.493467361249526","26.10337665179025"
"14417920","90267.8","79607","97688","18.42458140124255","9.811673746573826","26.10337665179025"
"15073280","95653.6","84353","103552","18.42458140124255","9.811673746573826","26.10337665179025"
"15728640","101104","89258","109418","18.474078681274573","9.811673746573826","26.10337665179025"
"16384000","106714","94164","115286","18.474078681274573","9.811673746573826","26.10337665179025"
"17039360","112355.6","99069","121155","18.474078681274573","9.811673746573826","26.10337665179025"
"17694720","118031","103973","127025","20.333626640293183","12.463959222870884","28.31122519225822"
"18350080","123834.6","108883","133055","20.72033100016393","13.97828102431845","28.730425190164393"
"19005440","129798.6","113788","139401","20.72033100016393","13.97828102431845","28.730425190164393"
"19660800","135790.4","118694","145742","21.045922063218903","13.97828102431845","30.18604491759735"
"20316160","141848.2","123601","152243","21.045922063218903","13.97828102431845","30.18604491759735"
