"global_step","algo: EMOS_NOcomplexEA_optimized - _step","algo: EMOS_NOcomplexEA_optimized - _step__MIN","algo: EMOS_NOcomplexEA_optimized - _step__MAX","algo: EMOS_NOcomplexEA_optimized - eval/hypervolume","algo: EMOS_NOcomplexEA_optimized - eval/hypervolume__MIN","algo: EMOS_NOcomplexEA_optimized - eval/hypervolume__MAX","algo: EMOS - _step","algo: EMOS - _step__MIN","algo: EMOS - _step__MAX","algo: EMOS - eval/hypervolume","algo: EMOS - eval/hypervolume__MIN","algo: EMOS - eval/hypervolume__MAX"
"0","12","12","12","4428.783264926663","4237.3048412422395","4601.992790437191","12","12","12","4354.4798074700975","4186.386344082712","4665.554488656515"
"2621440","5865","5865","5865","13218.254213078648","12109.157271086933","14285.878094642987","5865","5865","5865","14073.070624122354","11579.878831632763","17399.903807332823"
"3276800","8691.333333333334","8690","8693","13343.046636686979","12109.157271086933","14487.000162082226","8670.875","8532","8693","14525.184486656057","11579.878831632763","18275.614948272174"
"3932160","12102.333333333334","11996","12157","13381.062536620855","12109.157271086933","14506.369900086673","11936.5","11677","12157","14619.429238197947","11579.878831632763","18288.990376722802"
"4587520","15832.333333333334","15459","16099","13641.536465579125","12109.157271086933","14506.369900086673","15641.375","15143","16104","14817.609597453404","11579.878831632763","18288.990376722802"
"5242880","19992.333333333332","19247","20525","13672.3456602027","12109.157271086933","14506.369900086673","19647.625","18928","20534","14841.310071863361","11579.878831632763","18432.64529141527"
"5898240","24365","23192","25112","13672.3456602027","12109.157271086933","14506.369900086673","23934.375","23037","25281","14916.511312119235","11579.878831632763","18780.792951900003"
"6553600","28897.666666666668","27142","30017","13673.765774072206","12109.157271086933","14506.369900086673","28400.75","27305","30187","14950.818409814037","11579.878831632763","19052.183396001255"
"7208960","33485.666666666664","31090","35082","13674.145310981252","12109.157271086933","14506.575564623472","32986","31569","35414","14964.030160828615","11579.878831632763","19138.522115359407"
"7864320","38127.333333333336","35039","40149","13681.639940020768","12109.157271086933","14529.059451742021","37752.375","35835","40801","15121.111987331986","11579.878831632763","19941.153949784162"
"8519680","42818.333333333336","39141","45214","13683.787399147952","12109.157271086933","14535.501829123572","42639","40261","46350","15125.677908492502","11579.878831632763","19941.153949784162"
"9175040","47616.333333333336","43404","50441","13704.84213420594","12109.157271086933","14598.666034297534","47603.375","44685","52056","15126.436317110816","11579.878831632763","19941.153949784162"
"9830400","52469.333333333336","47672","55824","13807.381110129965","12109.157271086933","14906.28296206961","52629.875","49108","57758","15159.981624125616","11579.878831632763","19941.153949784162"
"10485760","57375.333333333336","52093","61214","13811.611397296429","12109.157271086933","14918.973823568998","57756.875","53692","63626","15175.112427631197","11579.878831632763","19941.153949784162"
"11141120","62282.333333333336","56522","66600","13823.423906883836","12109.157271086933","14948.901063795256","62903.125","58277","69494","15175.197275463714","11579.878831632763","19941.153949784162"
"11796480","67190","60950","71990","13850.282762446048","12109.157271086933","15024.069514151368","68149","63023","75677","15177.168448957793","11579.878831632763","19941.153949784162"
"12451840","72149.66666666667","65536","77376","13850.282762446048","12109.157271086933","15024.069514151368","73413.375","67766","81858","15177.696874831447","11579.878831632763","19941.23935959924"
"13107200","77107.33333333333","70116","82765","13850.282762446048","12109.157271086933","15024.069514151368","78738","72507","88043","15177.696874831447","11579.878831632763","19941.23935959924"
"13762560","82174.33333333333","74862","88313","13850.282762446048","12109.157271086933","15024.069514151368","84104.375","77253","94229","15177.717883160738","11579.878831632763","19941.23935959924"
"14417920","87239.66666666667","79607","93857","14203.105264489093","13026.942732192761","15164.751559174674","89529.75","81998","100414","15177.717883160738","11579.878831632763","19941.23935959924"
"15073280","92411.66666666667","84353","99401","14207.379469786358","13030.294067023293","15174.222840235943","94974.875","86744","106595","15177.72098122471","11579.878831632763","19941.23935959924"
"15728640","97690.66666666667","89258","104946","14219.815914311672","13067.603400599233","15174.222840235943","100482.375","91489","113103","15447.28888109971","11579.878831632763","19941.23935959924"
"16384000","103183.33333333333","94164","110652","14224.163777197697","13080.053621188705","15174.816208304543","106109.25","96240","119928","15448.815431726533","11579.878831632763","19941.23935959924"
"17039360","108728.66666666667","99069","116357","14228.571879425604","13093.277927872432","15174.816208304543","111816.75","100987","126755","15479.211855133788","11696.685936735332","19941.23935959924"
"17694720","114329.33333333333","103973","122068","14474.037741353508","13765.054715940414","15234.626345667664","117562.5","105732","133582","15488.332849977793","11696.685936735332","20011.458713805125"
"18350080","119930.33333333333","108883","127775","14476.249594176052","13765.054715940414","15241.2619041353","123327.5","110479","140568","15490.189510424912","11696.685936735332","20011.458713805125"
"19005440","125532","113788","133485","14477.178577141982","13767.344866966794","15241.2619041353","129092.5","115220","147555","15502.688430934619","11696.685936735332","20011.874100349185"
"19660800","131130.66666666666","118694","139190","14488.266338101346","13800.608149844886","15241.2619041353","134899.625","119968","154544","15502.871241799903","11696.685936735332","20011.94525326423"
"20316160","136731","123601","144896","14489.781635505167","13800.608149844886","15245.807796346762","140765.625","124714","161689","15502.871241799903","11696.685936735332","20011.94525326423"
