"global_step","algo: EMOS_NOcomplexEA_optimized - _step","algo: EMOS_NOcomplexEA_optimized - _step__MIN","algo: EMOS_NOcomplexEA_optimized - _step__MAX","algo: EMOS_NOcomplexEA_optimized - eval/sparsity","algo: EMOS_NOcomplexEA_optimized - eval/sparsity__MIN","algo: EMOS_NOcomplexEA_optimized - eval/sparsity__MAX"
"0","12","12","12","83.59267273552638","2.80557781457901","145.02387154102325"
"2621440","5865","5865","5865","1399.4806743542354","366.4051818847656","3286.363027572632"
"3276800","8691","8689","8693","1154.7406121447953","366.4051818847656","3286.363027572632"
"3932160","12061.4","11839","12161","1151.0155379205942","366.4051818847656","3286.363027572632"
"4587520","15877","15459","16265","1210.9591465224823","366.4051818847656","3286.363027572632"
"5242880","20080","19247","20853","1115.3591833978892","366.4051818847656","3286.363027572632"
"5898240","24539.2","23192","25762","1115.3591833978892","366.4051818847656","3286.363027572632"
"6553600","29157.4","27142","30829","1094.8986873251201","318.2718032360077","3286.363027572632"
"7208960","33873","31090","36056","1035.8602069399847","264.0600474302967","3286.363027572632"
"7864320","38715.2","35039","41439","988.5367999785069","264.0600474302967","3286.363027572632"
"8519680","43652.2","39141","46821","977.9081286444076","264.0600474302967","3286.363027572632"
"9175040","48653","43404","52206","969.6828297981008","264.0600474302967","3286.363027572632"
"9830400","53719","47672","57593","990.8427833584159","264.0600474302967","3286.363027572632"
"10485760","58816","52093","62974","980.0012898736613","264.0600474302967","3286.363027572632"
"11141120","63946.4","56522","68518","1026.2719220554836","214.8813604682717","3286.363027572632"
"11796480","69109.2","60950","74224","1005.8186482648487","223.1657830404417","3286.363027572632"
"12451840","74367.6","65536","80089","1005.8186482648487","223.1657830404417","3286.363027572632"
"13107200","79623.8","70116","85952","1005.8186482648487","223.1657830404417","3286.363027572632"
"13762560","84945.6","74862","91818","1005.8186482648487","223.1657830404417","3286.363027572632"
"14417920","90267.8","79607","97688","938.4837865939177","223.1657830404417","3286.363027572632"
"15073280","95653.6","84353","103552","918.1130291143493","223.1657830404417","3286.363027572632"
"15728640","101104","89258","109418","918.6591434899404","223.1657830404417","3286.363027572632"
"16384000","106714","94164","115286","895.0913981314559","194.48758200524995","3286.363027572632"
"17039360","112355.6","99069","121155","920.24250612375","223.1657830404417","3286.363027572632"
"17694720","118031","103973","127025","319.3285192269619","167.28114604468283","552.891309030354"
"18350080","123834.6","108883","133055","289.51122901020597","167.28114604468283","537.6998685171517"
"19005440","129798.6","113788","139401","365.4751564501953","146.5220927360804","765.2169736327487"
"19660800","135790.4","118694","145742","311.52882173445465","131.89651611788432","537.6998685171517"
"20316160","141848.2","123601","152243","245.03213368347232","131.89651611788432","459.71095827181955"
