"global_step","algo: PGMORL - _step","algo: PGMORL - _step__MIN","algo: PGMORL - _step__MAX","algo: PGMORL - eval/eum","algo: PGMORL - eval/eum__MIN","algo: PGMORL - eval/eum__MAX"
"0","18","18","18","19.05454245966199","15.612763256159134","22.996534392092002"
"3932160","39333.4","37299","45311","79.27304796809382","63.3381802750829","103.16803312416752"
"4915200","42904.2","39673","48563","84.7012914845175","63.79452208782179","120.77039624918154"
"5898240","45570.6","42103","51663","86.65727454145255","68.8185106329397","121.29654953659552"
"6881280","48216.2","44623","54517","89.8150677616288","76.33456838980044","121.29654953659552"
"7864320","50867.4","47339","57141","94.60945187470362","78.2881913671125","122.03527472724033"
"8847360","53631","49875","59799","95.05663930617732","78.29807115265284","122.03527472724033"
"9830400","56404.2","52179","62567","95.66397352218803","79.99891753100593","122.03527472724033"
"10813440","59136.6","54721","65211","96.01791412507768","79.99891753100593","122.03527472724033"
"11796480","61750.6","57085","67881","100.73416699887048","80.63583258913417","123.98442364215035"
"12779520","64322.2","59477","70639","101.95222333368724","80.63583258913417","129.5749932616978"
"13762560","67105.8","62145","73497","102.40914995116081","82.44555171298838","129.5749932616978"
"14745600","70030.2","64559","76387","111.97578557926063","82.44555171298838","130.2557366993016"
"15728640","73040.2","67029","79439","111.97981414147247","82.44555171298838","130.2557366993016"
"16711680","76019.4","69361","82579","114.64496242993194","83.02287362883071","141.2340645251971"
"17694720","78798.2","71715","85653","115.12481486371561","85.40157571236979","141.2340645251971"
"18677760","81753","74031","88915","115.90292635580413","86.9304612163367","141.2340645251971"
"19660800","84419","76307","91773","116.38216466461161","89.15807303285489","141.2340645251971"
"20643840","87249.8","78679","94703","116.4155842004067","89.17170646680417","141.2340645251971"
"21626880","90173","81199","97679","116.51657233783449","89.17170646680417","141.2340645251971"
"22609920","93386.2","84053","100419","116.88856749312943","89.17170646680417","141.2340645251971"
"23592960","96237","87211","103259","117.24802330868212","90.9689855445676","141.2340645251971"
"24576000","99138.6","90641","106005","117.62493267781761","90.9689855445676","141.2340645251971"
"25559040","102103","94385","108855","118.26549895267371","90.9689855445676","141.65391275784089"
"26542080","105128.6","98101","111551","118.55731578324794","90.9689855445676","141.65391275784089"
"27525120","108225.4","101913","114303","118.55731578324794","90.9689855445676","141.65391275784089"
"28508160","111236.6","105759","116611","120.07110423959679","90.98958221268414","141.65391275784089"
"29491200","114392.6","109413","118909","120.24156220642392","90.98958221268414","141.65391275784089"
"30474240","118009.8","114019","121775","120.24156220642392","90.98958221268414","141.65391275784089"
