"global_step","algo: PGMORL - _step","algo: PGMORL - _step__MIN","algo: PGMORL - _step__MAX","algo: PGMORL - eval/sparsity","algo: PGMORL - eval/sparsity__MIN","algo: PGMORL - eval/sparsity__MAX"
"0","18","18","18","97.31353380816678","22.229172924533486","128.4261350631714"
"3932160","8757","8757","8757","859.9016007830699","352.64359919230145","2058.258499145508"
"4915200","10957","10957","10957","422.61693227489167","97.82014447947343","973.5736249242909"
"5898240","13157","13157","13157","596.839466591316","173.74823441480598","1163.4173351025208"
"6881280","15357","15357","15357","589.5709577145551","232.50051240405688","1163.4173351025208"
"7864320","17557","17557","17557","531.4168703857064","187.6475179810077","1163.4173351025208"
"8847360","19757","19757","19757","443.2298233824281","118.060832263669","1163.4173351025208"
"9830400","21957","21957","21957","395.7159470776347","118.40796484835445","962.3094323319383"
"10813440","24157","24157","24157","339.636302369631","104.82807091705399","689.6311893807433"
"11796480","26357","26357","26357","302.6914666549028","71.18702046526596","689.6311893807433"
"12779520","28557","28557","28557","366.17602809239645","48.03561938802401","819.5476302659871"
"13762560","30757","30757","30757","285.0257765562737","40.42900594977618","608.3429648452179"
"14745600","32957","32957","32957","291.6028751326312","36.30524462054382","781.0116910748184"
"15728640","35157","35157","35157","231.490759919598","33.72149185387431","678.9807748058811"
"16711680","37357","37357","37357","116.67705521388186","31.058870119149407","279.46745846760626"
"17694720","39557","39557","39557","257.57553620007127","29.11829764882752","918.6818922031671"
"18677760","41757","41757","41757","159.3207791946909","24.22380852390432","450.9581847384572"
"19660800","43957","43957","43957","115.37454675913061","24.59233462875984","320.8155337113255"
"20643840","46157","46157","46157","114.41937144761513","27.9206884145824","309.1074569000248"
"21626880","48357","48357","48357","81.54547528943793","29.535271887695124","180.46615329529396"
"22609920","50557","50557","50557","75.36674581490098","23.760192236478083","189.2894810246031"
"23592960","52757","52757","52757","65.69872480731212","23.38658714755318","109.22873813879806"
"24576000","54957","54957","54957","62.67018988440727","26.05985026276799","88.5117334075306"
"25559040","57157","57157","57157","61.47024556661438","26.05985026276799","117.90127102033044"
"26542080","59357","59357","59357","60.53889012033837","28.179768248817346","117.90127102033044"
"27525120","61557","61557","61557","56.780527302904645","26.307173083193923","117.78502661457294"
"28508160","63757","63757","63757","51.38309906789025","22.28826816752303","117.69830371877053"
"29491200","65957","65957","65957","58.569548699430165","19.232268545235623","156.01054053403138"
"30474240","68157","68157","68157","93.50290077326876","20.67925267864932","313.0673603874404"
