"global_step","algo: PGMORL - _step","algo: PGMORL - _step__MIN","algo: PGMORL - _step__MAX","algo: PGMORL - eval/sparsity","algo: PGMORL - eval/sparsity__MIN","algo: PGMORL - eval/sparsity__MAX"
"0","18","18","18","0.8103453315794468","0","4.051726657897234"
"3932160","39333.4","37299","45311","3898.879225150744","346.6039282480876","7461.334526062012"
"4915200","42904.2","39673","48563","1315.7669048722587","152.9034265677134","3415.9421768188477"
"5898240","45570.6","42103","51663","1064.7887382916042","195.8041077454885","2178.6535727183023"
"6881280","48216.2","44623","54517","993.1037126966318","247.3013310134411","2178.6535727183023"
"7864320","50867.4","47339","57141","881.2118983032306","181.58467435836792","1456.533256149292"
"8847360","53631","49875","59799","687.0902139580153","98.11383050626942","1456.533256149292"
"9830400","56404.2","52179","62567","613.1144066795815","198.30272035982898","1456.533256149292"
"10813440","59136.6","54721","65211","498.3928735026537","151.68357279311334","1208.7263087828953"
"11796480","61750.6","57085","67881","502.5591646049879","171.95475994451687","1035.1668996177614"
"12779520","64322.2","59477","70639","608.2622644818637","147.2651478451987","1434.6838975036517"
"13762560","67105.8","62145","73497","584.8321435985538","133.39279804355465","1434.6838975036517"
"14745600","70030.2","64559","76387","1435.370514798295","133.39279804355465","4213.314778923988"
"15728640","73040.2","67029","79439","1381.7383101456999","133.39279804355465","4213.314778923988"
"16711680","76019.4","69361","82579","1054.7897554487613","128.49289244910082","2520.15185546875"
"17694720","78798.2","71715","85653","1081.5444108176757","176.92655823741327","2520.15185546875"
"18677760","81753","74031","88915","1325.532956148714","241.31348372798723","2592.8106374765434"
"19660800","84419","76307","91773","1306.7892213432044","146.4808850381669","2593.924562138816"
"20643840","87249.8","78679","94703","1289.7161337942587","146.0120870780811","2593.924562138816"
"21626880","90173","81199","97679","1267.7121080106374","160.56242965254933","2593.924562138816"
"22609920","93386.2","84053","100419","1405.677877197148","127.21786043627395","2593.924562138816"
"23592960","96237","87211","103259","1405.865715506458","128.15705198282376","2593.924562138816"
"24576000","99138.6","90641","106005","938.0005357784769","105.17909757126318","2520.15185546875"
"25559040","102103","94385","108855","618.2609084971733","92.55165297693263","1453.0726318529673"
"26542080","105128.6","98101","111551","596.3747120728456","92.55165297693263","1453.0726318529673"
"27525120","108225.4","101913","114303","596.3747120728456","92.55165297693263","1453.0726318529673"
"28508160","111236.6","105759","116611","601.7547006330923","56.537329107988626","1453.0726318529673"
"29491200","114392.6","109413","118909","507.77428550492084","56.537329107988626","1453.0726318529673"
"30474240","118009.8","114019","121775","503.8223662830428","56.537329107988626","1453.0726318529673"
