,eval/front,eval/sparsity,losses/policy_loss,losses/critic_loss,_runtime,global_step,eval/cardinality,_step,eval/eum,_timestamp,eval/hypervolume
0,,,-2.207638740539551,0.04493406414985657,3.373492174,1200,,2,,1736532407.3599324,
1,,,-3.0045790672302246,0.04887952655553818,4.978708422,1400,,4,,1736532408.965145,
2,,,-6.225164413452148,0.4950917363166809,9.85541729,2000,,10,,1736532413.841849,
3,,,-6.907288551330566,0.09877075254917145,10.680101071,2100,,11,,1736532414.6665542,
4,,,-7.999810218811035,0.21977989375591278,12.328958926,2300,,13,,1736532416.3153932,
5,,,-18.049833297729492,5.09031867980957,25.603457529,3900,,29,,1736532429.5898914,
6,,,-22.144039154052734,2.8938777446746826,33.869181543,4900,,39,,1736532437.8556113,
7,,,-24.421308517456055,12.0768461227417,38.854418174,5500,,45,,1736532442.840847,
8,,,-23.399253845214844,6.708919048309326,42.183683155,5900,,49,,1736532446.1701133,
9,,,-30.130388259887695,12.696037292480469,52.978394664,7200,,62,,1736532456.964818,
10,,,-29.390872955322266,4.62882137298584,57.951840718,7800,,68,,1736532461.9382606,
11,,,-32.553688049316406,2.5603654384613037,58.779198136,7900,,69,,1736532462.7656245,
12,,,-34.848106384277344,3.7751035690307617,61.268016794,8200,,72,,1736532465.25443,
13,,,-36.60832214355469,1.475188970565796,66.240356813,8800,,78,,1736532470.2267935,
14,,,-38.64414596557617,5.771129608154297,69.532046804,9200,,82,,1736532473.5184755,
15,,,-37.12982177734375,9.157514572143555,70.356847954,9300,,83,,1736532474.3432784,
16,"{'ncols': 2, 'nrows': 36, 'path': 'media/table/eval/front_91_66ee6d069ea58a14880d.table.json', 'sha256': '66ee6d069ea58a14880ddc14de3d440efcd23dfddf0ff662e9aa56fb3bd5d768', 'size': 1526, 'artifact_path': 'wandb-client-artifact://0or8yd35u9qnceugwlvmx24ykmq2bczy1nbtu1ybpfzf6ssmwza4yrnzpndzbd46jc4y5svmliupkvwpvf24amj6qgivnc0nds8zj61fqrnyozepeaz0ugo0c0f7f4ob/eval/front.table.json', '_latest_artifact_path': 'wandb-client-artifact://z2ob3r1ahe1f7homm8hfmb58k3zerupur77ryjeckejzsomx5qdtujp60rha5171zr9ob5y6zjmfu1mtxv4uhpaogy0s2oxe91f2q2s2tutg4p1vdc6zspkdugvagw0u:latest/eval/front.table.json', '_type': 'table-file'}",2.3042396987586335,,,107.506394218,10000,36.0,91,106.80225229900506,1736532511.4926353,42217.58870798178
17,,,-37.93119812011719,17.384777069091797,109.19116049,10200,,93,,1736532513.1775744,
18,,,-41.49221420288086,6.2720465660095215,111.692568661,10500,,96,,1736532515.678991,
19,,,-41.83217239379883,5.905584335327148,112.514033324,10600,,97,,1736532516.5004637,
20,,,-44.22737121582031,4.345928192138672,115.834040623,11000,,101,,1736532519.8204877,
21,,,-42.162479400634766,5.178614616394043,118.325860794,11300,,104,,1736532522.3122885,
22,,,-47.434757232666016,4.132811546325684,119.987302982,11500,,106,,1736532523.973733,
23,,,-45.47140121459961,5.2740983963012695,120.819713311,11600,,107,,1736532524.8061671,
24,,,-46.38434982299805,15.966922760009766,124.969019201,12100,,112,,1736532528.955449,
25,,,-43.35525894165039,58.04632568359375,125.800535093,12200,,113,,1736532529.7869651,
26,,,-50.12905502319336,6.548578262329102,132.452618186,13000,,121,,1736532536.4390285,
27,,,-50.482994079589844,4.979371070861816,135.775222029,13400,,125,,1736532539.7616565,
28,,,-47.36680603027344,49.43376541137695,138.286016655,13700,,128,,1736532542.2724433,
29,,,-46.88945770263672,12.725481986999512,144.130413334,14400,,135,,1736532548.1168454,
30,,,-47.5930290222168,3.7999374866485596,145.793896825,14600,,137,,1736532549.7803264,
31,,,-58.197235107421875,7.359281539916992,149.952719046,15100,,142,,1736532553.9391303,
32,,,-54.47862243652344,4.441786766052246,151.621505376,15300,,144,,1736532555.607937,
33,,,-47.82688522338867,6.887404441833496,156.619972873,15900,,150,,1736532560.606401,
34,,,-53.91337585449219,3.8004887104034424,159.118654839,16200,,153,,1736532563.105085,
35,,,-48.856727600097656,12.91357421875,160.784331388,16400,,155,,1736532564.7707682,
36,,,-56.1104736328125,4.122529029846191,161.614538334,16500,,156,,1736532565.600976,
37,,,-54.21375274658203,61.939674377441406,165.767111331,17000,,161,,1736532569.7535412,
38,,,-54.33763122558594,6.1231369972229,169.095477184,17400,,165,,1736532573.081899,
39,,,-50.92991256713867,8.96072006225586,172.430936218,17800,,169,,1736532576.4173672,
